,Conditions,DateUTC<br />,Dew PointC,Events,Gust SpeedKm/h,Humidity,Precipitationmm,Sea Level PressurehPa,TemperatureC,TimeEDT,TimeEST,VisibilityKm,Wind Direction,Wind SpeedKm/h,WindDirDegrees
20,Clear,2015-07-14 00:51:00<br />,15.0,,-,57.0,,1010.4,23.9,8:51 PM,,16.1,Variable,9.3,0
21,Clear,2015-07-14 01:51:00<br />,15.0,,-,59.0,,1010.6,23.3,9:51 PM,,16.1,SSE,7.4,160
22,Clear,2015-07-14 02:51:00<br />,15.6,,-,62.0,,1010.1,23.3,10:51 PM,,16.1,Calm,Calm,0
23,Clear,2015-07-14 03:51:00<br />,15.6,,-,64.0,,1009.2,22.8,11:51 PM,,16.1,Variable,5.6,0
0,Clear,2015-07-14 04:51:00<br />,15.6,,-,64.0,,1008.8,22.8,12:51 AM,,16.1,Variable,5.6,0
1,Clear,2015-07-14 05:51:00<br />,16.1,,-,66.0,,1008.5,22.8,1:51 AM,,16.1,Calm,Calm,0
2,Clear,2015-07-14 06:51:00<br />,16.1,,-,62.0,,1007.7,23.9,2:51 AM,,16.1,Variable,5.6,0
3,Scattered Clouds,2015-07-14 07:51:00<br />,15.6,,-,62.0,,1007.1,23.3,3:51 AM,,16.1,Calm,Calm,0
4,Clear,2015-07-14 08:51:00<br />,16.1,,-,64.0,,1006.5,23.3,4:51 AM,,16.1,Calm,Calm,0
5,Partly Cloudy,2015-07-14 09:51:00<br />,16.1,,-,64.0,,1006.2,23.3,5:51 AM,,16.1,Calm,Calm,0
6,Clear,2015-07-14 10:51:00<br />,17.2,,-,68.0,,1006.3,23.3,6:51 AM,,16.1,Calm,Calm,0
7,Scattered Clouds,2015-07-14 11:51:00<br />,17.8,,-,69.0,,1006.2,23.9,7:51 AM,,16.1,South,5.6,180
8,Clear,2015-07-14 12:51:00<br />,17.2,,-,64.0,,1005.4,24.4,8:51 AM,,16.1,SSE,9.3,160
9,Overcast,2015-07-14 13:51:00<br />,17.2,,-,62.0,,1005.6,25.0,9:51 AM,,16.1,South,7.4,170
10,Overcast,2015-07-14 14:51:00<br />,18.3,,-,69.0,,1005.2,24.4,10:51 AM,,14.5,Calm,Calm,0
11,Overcast,2015-07-14 15:18:00<br />,19.4,,-,71.0,,1006.0,25.0,11:18 AM,,16.1,Variable,5.6,0
12,Overcast,2015-07-14 15:51:00<br />,18.9,,-,66.0,,1004.7,25.6,11:51 AM,,16.1,SSE,5.6,150
13,Mostly Cloudy,2015-07-14 16:16:00<br />,19.4,,-,62.0,,1005.3,27.2,12:16 PM,,16.1,North,-9999.0,0
14,Mostly Cloudy,2015-07-14 16:25:00<br />,19.4,,-,66.0,,1005.3,26.1,12:25 PM,,16.1,Variable,11.1,0
15,Overcast,2015-07-14 16:51:00<br />,20.0,,-,71.0,,1004.3,25.6,12:51 PM,,12.9,Variable,11.1,0
16,Light Rain,2015-07-14 16:57:00<br />,20.6,Rain,-,79.0,0.0,1005.6,24.4,12:57 PM,,2.0,Variable,9.3,0
17,Heavy Rain,2015-07-14 17:04:00<br />,21.1,Fog-Rain,-,87.0,0.24,1006.0,23.3,1:04 PM,,0.4,SE,5.6,130
18,Light Rain,2015-07-14 17:12:00<br />,21.1,Fog-Rain,-,87.0,0.37,1005.3,23.3,1:12 PM,,0.8,ESE,9.3,120
19,Light Rain,2015-07-14 17:17:00<br />,21.7,Rain,-,91.0,0.37,1005.6,23.3,1:17 PM,,3.2,Variable,7.4,0
20,Light Rain,2015-07-14 17:27:00<br />,21.7,Rain,-,91.0,0.39,1005.0,23.3,1:27 PM,,6.4,Calm,Calm,0
21,Light Rain,2015-07-14 17:34:00<br />,21.7,Rain,-,87.0,0.39,1005.0,23.9,1:34 PM,,11.3,Variable,5.6,0
22,Overcast,2015-07-14 17:51:00<br />,21.7,,-,87.0,0.39,1003.8,23.9,1:51 PM,,8.0,Calm,Calm,0
23,Light Rain,2015-07-14 18:03:00<br />,21.7,Rain,-,91.0,0.0,1005.0,23.3,2:03 PM,,4.8,Calm,Calm,0
24,Light Rain,2015-07-14 18:13:00<br />,21.7,Rain,-,87.0,0.0,1004.6,23.9,2:13 PM,,2.8,Calm,Calm,0
25,Light Rain,2015-07-14 18:27:00<br />,22.2,Rain,-,90.0,0.02,1004.3,23.9,2:27 PM,,3.2,Variable,5.6,0
26,Light Rain,2015-07-14 18:42:00<br />,22.2,Rain,-,90.0,0.02,1003.9,23.9,2:42 PM,,4.8,Calm,Calm,0
27,Light Rain,2015-07-14 18:51:00<br />,22.8,Rain,-,91.0,0.03,1003.0,24.4,2:51 PM,,4.8,Variable,7.4,0
28,Mostly Cloudy,2015-07-14 19:38:00<br />,22.8,,-,91.0,0.0,1003.6,24.4,3:38 PM,,11.3,Calm,Calm,0
29,Mostly Cloudy,2015-07-14 19:51:00<br />,21.1,,-,84.0,0.0,1002.3,23.9,3:51 PM,,12.9,South,11.1,170
30,Mostly Cloudy,2015-07-14 20:02:00<br />,21.1,,-,84.0,,1003.3,23.9,4:02 PM,,16.1,North,-9999.0,0
31,Scattered Clouds,2015-07-14 20:51:00<br />,22.2,,-,84.0,,1001.5,25.0,4:51 PM,,16.1,Variable,5.6,0
32,Mostly Cloudy,2015-07-14 21:01:00<br />,22.8,,-,88.0,,1002.3,25.0,5:01 PM,,14.5,Variable,7.4,0
33,Scattered Clouds,2015-07-14 21:10:00<br />,22.2,,-,84.0,,1002.3,25.0,5:10 PM,,14.5,Variable,5.6,0
34,Mostly Cloudy,2015-07-14 21:18:00<br />,22.2,,-,84.0,,1002.3,25.0,5:18 PM,,14.5,Calm,Calm,0
35,Scattered Clouds,2015-07-14 21:26:00<br />,22.2,,-,84.0,,1002.3,25.0,5:26 PM,,14.5,Variable,5.6,0
36,Mostly Cloudy,2015-07-14 21:40:00<br />,21.7,,-,82.0,,1002.3,25.0,5:40 PM,,14.5,Variable,5.6,0
37,Mostly Cloudy,2015-07-14 21:51:00<br />,22.2,,-,87.0,,1001.2,24.4,5:51 PM,,11.3,South,9.3,190
38,Mostly Cloudy,2015-07-14 22:51:00<br />,22.2,,-,84.0,,1000.9,25.0,6:51 PM,,12.9,Calm,Calm,0
39,Partly Cloudy,2015-07-14 23:05:00<br />,21.7,,-,82.0,,1001.9,25.0,7:05 PM,,12.9,Variable,7.4,0
40,Partly Cloudy,2015-07-14 23:51:00<br />,22.2,,-,84.0,,1000.9,25.0,7:51 PM,,11.3,Variable,5.6,0
41,Clear,2015-07-15 00:51:00<br />,22.2,,-,84.0,,1001.0,25.0,8:51 PM,,12.9,Calm,Calm,0
42,Mostly Cloudy,2015-07-15 01:44:00<br />,22.2,,-,84.0,,1002.6,25.0,9:44 PM,,12.9,ESE,7.4,110
43,Mostly Cloudy,2015-07-15 01:51:00<br />,22.2,,-,84.0,,1001.6,25.0,9:51 PM,,12.9,East,7.4,100
44,Scattered Clouds,2015-07-15 02:02:00<br />,22.2,,-,84.0,,1002.6,25.0,10:02 PM,,11.3,Variable,5.6,0
45,Mostly Cloudy,2015-07-15 02:51:00<br />,22.2,,-,84.0,,1001.6,25.0,10:51 PM,,11.3,East,9.3,90
46,Scattered Clouds,2015-07-15 02:59:00<br />,22.2,,-,84.0,,1002.6,25.0,10:59 PM,,11.3,Variable,7.4,0
47,Mostly Cloudy,2015-07-15 03:13:00<br />,22.2,,-,87.0,,1002.6,24.4,11:13 PM,,11.3,East,5.6,90
48,Scattered Clouds,2015-07-15 03:22:00<br />,22.2,,-,87.0,,1002.6,24.4,11:22 PM,,9.7,ESE,7.4,120
49,Partly Cloudy,2015-07-15 03:51:00<br />,22.2,,-,87.0,,1001.7,24.4,11:51 PM,,9.7,Calm,Calm,0
0,Mostly Cloudy,2015-07-15 04:16:00<br />,22.2,,-,87.0,,1002.9,24.4,12:16 AM,,9.7,Calm,Calm,0
1,Scattered Clouds,2015-07-15 04:51:00<br />,22.2,,-,87.0,,1001.6,24.4,12:51 AM,,9.7,Calm,Calm,0
2,Mostly Cloudy,2015-07-15 05:08:00<br />,22.2,,-,87.0,,1002.6,24.4,1:08 AM,,9.7,Calm,Calm,0
3,Overcast,2015-07-15 05:42:00<br />,22.2,,-,87.0,,1002.6,24.4,1:42 AM,,9.7,North,7.4,10
4,Overcast,2015-07-15 05:51:00<br />,22.2,,-,87.0,,1001.5,24.4,1:51 AM,,9.7,Calm,Calm,0
5,Mostly Cloudy,2015-07-15 06:32:00<br />,22.2,,-,87.0,,1002.3,24.4,2:32 AM,,8.0,NNE,5.6,20
6,Overcast,2015-07-15 06:51:00<br />,22.2,,-,87.0,,1001.2,24.4,2:51 AM,,9.7,Calm,Calm,0
7,Mostly Cloudy,2015-07-15 07:11:00<br />,22.2,,-,87.0,,1001.9,24.4,3:11 AM,,8.0,Calm,Calm,0
8,Scattered Clouds,2015-07-15 07:38:00<br />,22.2,,-,87.0,,1001.9,24.4,3:38 AM,,8.0,Calm,Calm,0
9,Partly Cloudy,2015-07-15 07:51:00<br />,21.7,,-,87.0,,1000.9,23.9,3:51 AM,,6.4,Calm,Calm,0
10,Scattered Clouds,2015-07-15 08:33:00<br />,21.7,,-,87.0,,1001.9,23.9,4:33 AM,,4.0,Calm,Calm,0
11,Mostly Cloudy,2015-07-15 08:42:00<br />,21.7,,-,87.0,,1001.9,23.9,4:42 AM,,4.0,Calm,Calm,0
12,Mostly Cloudy,2015-07-15 08:51:00<br />,21.7,,-,87.0,,1001.3,23.9,4:51 AM,,4.0,Calm,Calm,0
13,Overcast,2015-07-15 09:46:00<br />,22.0,,-,89.0,,1002.6,24.0,5:46 AM,,3.2,Calm,Calm,0
14,Overcast,2015-07-15 09:51:00<br />,22.2,,-,90.0,,1001.6,23.9,5:51 AM,,2.4,Calm,Calm,0
15,Overcast,2015-07-15 10:21:00<br />,22.2,,-,87.0,,1003.3,24.4,6:21 AM,,3.2,Calm,Calm,0
16,Overcast,2015-07-15 10:28:00<br />,22.2,,-,87.0,,1003.3,24.4,6:28 AM,,3.2,Calm,Calm,0
17,Overcast,2015-07-15 10:42:00<br />,22.2,,-,87.0,,1003.3,24.4,6:42 AM,,4.8,Calm,Calm,0
18,Overcast,2015-07-15 10:51:00<br />,22.2,,-,87.0,,1002.2,24.4,6:51 AM,,4.8,Variable,5.6,0
19,Haze,2015-07-15 11:51:00<br />,22.2,,-,81.0,,1002.7,25.6,7:51 AM,,6.4,Calm,Calm,0
20,Haze,2015-07-15 12:51:00<br />,21.7,,-,79.0,,1002.7,25.6,8:51 AM,,8.0,Calm,Calm,0
21,Haze,2015-07-15 13:21:00<br />,22.2,,-,79.0,,1003.6,26.1,9:21 AM,,8.0,Variable,5.6,0
22,Haze,2015-07-15 13:51:00<br />,21.7,,-,77.0,,1003.1,26.1,9:51 AM,,8.0,Calm,Calm,0
23,Haze,2015-07-15 14:03:00<br />,21.7,,-,79.0,,1004.3,25.6,10:03 AM,,8.0,Variable,5.6,0
24,Haze,2015-07-15 14:51:00<br />,21.7,,-,79.0,,1004.1,25.6,10:51 AM,,9.7,Variable,5.6,0
25,Mostly Cloudy,2015-07-15 15:11:00<br />,21.1,,-,76.0,,1005.0,25.6,11:11 AM,,11.3,North,7.4,10
26,Light Rain,2015-07-15 15:51:00<br />,21.1,Rain,-,79.0,0.0,1004.2,25.0,11:51 AM,,6.4,North,13.0,350
27,Light Rain,2015-07-15 15:59:00<br />,21.1,Rain,-,82.0,0.01,1005.3,24.4,11:59 AM,,2.8,Variable,7.4,0
28,Heavy Rain,2015-07-15 16:11:00<br />,21.7,Fog-Rain,-,87.0,0.11,1005.3,23.9,12:11 PM,,0.8,Variable,5.6,0
29,Light Rain,2015-07-15 16:18:00<br />,21.7,Rain,-,87.0,0.12,1005.3,23.9,12:18 PM,,3.2,Variable,5.6,0
30,Overcast,2015-07-15 16:33:00<br />,21.7,,-,87.0,0.12,1005.3,23.9,12:33 PM,,4.8,West,5.6,270
31,Mostly Cloudy,2015-07-15 16:51:00<br />,22.2,,-,90.0,0.12,1004.4,23.9,12:51 PM,,4.8,Calm,Calm,0
32,Mostly Cloudy,2015-07-15 17:51:00<br />,21.7,,-,85.0,,1004.4,24.4,1:51 PM,,12.9,Variable,5.6,0
33,Scattered Clouds,2015-07-15 18:51:00<br />,21.1,,-,76.0,,1004.5,25.6,2:51 PM,,16.1,Variable,9.3,0
34,Scattered Clouds,2015-07-15 19:51:00<br />,20.6,,-,72.0,,1005.0,26.1,3:51 PM,,12.9,Variable,7.4,0
35,Partly Cloudy,2015-07-15 20:51:00<br />,19.4,,-,64.0,,1005.5,26.7,4:51 PM,,16.1,NE,14.8,50
36,Overcast,2015-07-15 21:51:00<br />,17.2,,-,60.0,,1006.1,25.6,5:51 PM,,16.1,Variable,11.1,0
37,Mostly Cloudy,2015-07-15 22:51:00<br />,16.7,,-,56.0,,1007.1,26.1,6:51 PM,,16.1,Variable,11.1,0
38,Overcast,2015-07-15 23:51:00<br />,16.1,,-,58.0,,1007.8,25.0,7:51 PM,,16.1,NE,14.8,40
39,Overcast,2015-07-16 00:51:00<br />,12.8,,27.8,47.0,,1008.8,25.0,8:51 PM,,16.1,Variable,9.3,0
40,Overcast,2015-07-16 01:51:00<br />,13.3,,-,50.0,,1009.9,24.4,9:51 PM,,16.1,Variable,11.1,0
41,Overcast,2015-07-16 02:51:00<br />,13.3,,29.6,53.0,,1010.7,23.3,10:51 PM,,16.1,North,13.0,10
42,Overcast,2015-07-16 03:51:00<br />,11.1,,-,48.0,,1011.6,22.8,11:51 PM,,16.1,NNE,13.0,20
0,Overcast,2015-07-16 04:51:00<br />,8.9,,-,41.0,,1012.5,22.8,12:51 AM,,16.1,ENE,13.0,60
1,Overcast,2015-07-16 05:51:00<br />,8.3,,31.5,42.0,,1013.5,21.7,1:51 AM,,16.1,ENE,13.0,60
2,Overcast,2015-07-16 06:51:00<br />,7.8,,-,44.0,,1013.5,20.6,2:51 AM,,16.1,NE,14.8,50
3,Overcast,2015-07-16 07:51:00<br />,7.2,,31.5,45.0,,1013.6,19.4,3:51 AM,,16.1,ENE,22.2,60
4,Clear,2015-07-16 08:51:00<br />,7.8,,-,48.0,,1014.2,18.9,4:51 AM,,16.1,NE,14.8,50
5,Overcast,2015-07-16 09:51:00<br />,7.8,,-,50.0,,1015.5,18.3,5:51 AM,,16.1,Variable,11.1,0
6,Partly Cloudy,2015-07-16 10:51:00<br />,8.3,,27.8,54.0,,1016.3,17.8,6:51 AM,,16.1,NE,14.8,50
7,Scattered Clouds,2015-07-16 11:51:00<br />,8.3,,31.5,50.0,,1017.0,18.9,7:51 AM,,16.1,ENE,14.8,60
8,Clear,2015-07-16 12:51:00<br />,8.9,,-,51.0,,1017.3,19.4,8:51 AM,,16.1,NNE,16.7,30
9,Clear,2015-07-16 13:51:00<br />,9.4,,-,47.0,,1017.4,21.1,9:51 AM,,16.1,Variable,9.3,0
10,Clear,2015-07-16 14:51:00<br />,10.0,,-,47.0,,1017.4,21.7,10:51 AM,,16.1,Variable,11.1,0
11,Clear,2015-07-16 15:51:00<br />,10.6,,-,43.0,,1017.5,23.9,11:51 AM,,16.1,Variable,9.3,0
12,Clear,2015-07-16 16:51:00<br />,10.6,,-,40.0,,1017.1,25.0,12:51 PM,,16.1,ENE,13.0,60
13,Clear,2015-07-16 17:51:00<br />,8.3,,-,33.0,,1017.4,25.6,1:51 PM,,16.1,North,9.3,360
14,Clear,2015-07-16 18:51:00<br />,9.4,,-,36.0,,1017.0,25.6,2:51 PM,,16.1,Calm,Calm,0
15,Clear,2015-07-16 19:51:00<br />,8.9,,-,34.0,,1017.0,26.1,3:51 PM,,16.1,East,9.3,80
16,Clear,2015-07-16 20:51:00<br />,7.2,,-,30.0,,1016.8,26.1,4:51 PM,,16.1,Variable,7.4,0
17,Clear,2015-07-16 21:51:00<br />,7.8,,-,31.0,,1016.5,26.1,5:51 PM,,16.1,Calm,Calm,0
18,Clear,2015-07-16 22:51:00<br />,9.4,,-,36.0,,1016.9,25.6,6:51 PM,,16.1,ENE,7.4,60
19,Clear,2015-07-16 23:51:00<br />,12.8,,-,52.0,,1017.2,23.3,7:51 PM,,16.1,Variable,5.6,0
20,Clear,2015-07-17 00:51:00<br />,13.9,,-,59.0,,1017.5,22.2,8:51 PM,,16.1,Variable,5.6,0
21,Clear,2015-07-17 01:51:00<br />,12.8,,-,59.0,,1018.2,21.1,9:51 PM,,16.1,Calm,Calm,0
22,Clear,2015-07-17 02:51:00<br />,12.8,,-,59.0,,1018.4,21.1,10:51 PM,,16.1,Calm,Calm,0
23,Clear,2015-07-17 03:51:00<br />,12.8,,-,61.0,,1018.4,20.6,11:51 PM,,16.1,Calm,Calm,0
0,Clear,2015-07-17 04:51:00<br />,13.3,,-,63.0,,1018.7,20.6,12:51 AM,,16.1,Variable,7.4,0
1,Clear,2015-07-17 05:51:00<br />,13.3,,-,63.0,,1018.4,20.6,1:51 AM,,16.1,WSW,9.3,250
2,Clear,2015-07-17 06:51:00<br />,13.9,,-,68.0,,1018.7,20.0,2:51 AM,,16.1,Variable,5.6,0
3,Clear,2015-07-17 07:51:00<br />,13.9,,-,68.0,,1018.8,20.0,3:51 AM,,16.1,Variable,7.4,0
4,Clear,2015-07-17 08:51:00<br />,14.4,,-,70.0,,1018.9,20.0,4:51 AM,,16.1,West,5.6,280
5,Clear,2015-07-17 09:51:00<br />,14.4,,-,73.0,,1019.3,19.4,5:51 AM,,14.5,Calm,Calm,0
6,Clear,2015-07-17 10:51:00<br />,15.0,,-,73.0,,1019.6,20.0,6:51 AM,,16.1,Calm,Calm,0
7,Clear,2015-07-17 11:51:00<br />,14.4,,-,65.0,,1019.8,21.1,7:51 AM,,16.1,Calm,Calm,0
8,Clear,2015-07-17 12:51:00<br />,15.0,,-,66.0,,1019.8,21.7,8:51 AM,,16.1,West,11.1,260
9,Clear,2015-07-17 13:51:00<br />,15.6,,-,62.0,,1019.4,23.3,9:51 AM,,16.1,Calm,Calm,0
10,Partly Cloudy,2015-07-17 14:51:00<br />,15.6,,-,60.0,,1019.6,23.9,10:51 AM,,16.1,Variable,9.3,0
11,Mostly Cloudy,2015-07-17 15:51:00<br />,16.1,,-,58.0,,1019.3,25.0,11:51 AM,,16.1,Variable,7.4,0
12,Scattered Clouds,2015-07-17 16:51:00<br />,15.6,,-,52.0,,1018.7,26.1,12:51 PM,,16.1,Variable,7.4,0
13,Mostly Cloudy,2015-07-17 17:51:00<br />,15.6,,-,52.0,,1018.2,26.1,1:51 PM,,16.1,Variable,5.6,0
14,Clear,2015-07-17 18:51:00<br />,15.0,,-,50.0,,1018.0,26.1,2:51 PM,,16.1,SW,13.0,220
15,Clear,2015-07-17 19:51:00<br />,15.0,,-,52.0,,1017.8,25.6,3:51 PM,,16.1,Variable,7.4,0
16,Clear,2015-07-17 20:51:00<br />,14.4,,-,52.0,,1017.4,25.0,4:51 PM,,16.1,Variable,9.3,0
17,Clear,2015-07-17 21:51:00<br />,13.9,,-,53.0,,1016.8,23.9,5:51 PM,,16.1,South,7.4,180
18,Clear,2015-07-17 22:51:00<br />,13.9,,29.6,53.0,,1016.8,23.9,6:51 PM,,16.1,Variable,5.6,0
19,Clear,2015-07-17 23:51:00<br />,13.9,,-,55.0,,1017.0,23.3,7:51 PM,,16.1,Variable,11.1,0
20,Clear,2015-07-18 00:51:00<br />,15.0,,-,61.0,,1017.0,22.8,8:51 PM,,16.1,North,-9999.0,0
21,Partly Cloudy,2015-07-18 01:51:00<br />,15.6,,-,66.0,,1017.3,22.2,9:51 PM,,16.1,North,-9999.0,0
22,Mostly Cloudy,2015-07-18 02:51:00<br />,16.1,,-,66.0,,1017.1,22.8,10:51 PM,,16.1,Calm,Calm,0
23,Mostly Cloudy,2015-07-18 03:51:00<br />,16.1,,-,66.0,,1016.8,22.8,11:51 PM,,16.1,North,-9999.0,0
0,Overcast,2015-07-18 04:51:00<br />,16.1,,-,66.0,,1016.6,22.8,12:51 AM,,16.1,Variable,7.4,0
1,Overcast,2015-07-18 05:51:00<br />,16.7,,-,68.0,,1016.3,22.8,1:51 AM,,16.1,Variable,9.3,0
2,Overcast,2015-07-18 06:51:00<br />,16.7,,-,66.0,,1015.7,23.3,2:51 AM,,16.1,SW,13.0,220
3,Overcast,2015-07-18 07:51:00<br />,16.7,,-,68.0,,1015.2,22.8,3:51 AM,,16.1,Variable,9.3,0
4,Overcast,2015-07-18 08:33:00<br />,16.1,,-,64.0,,1016.1,23.3,4:33 AM,,16.1,Variable,9.3,0
5,Overcast,2015-07-18 08:40:00<br />,16.1,,-,64.0,,1016.1,23.3,4:40 AM,,16.1,Variable,9.3,0
6,Overcast,2015-07-18 08:51:00<br />,16.1,,-,64.0,,1015.2,23.3,4:51 AM,,16.1,Variable,5.6,0
7,Overcast,2015-07-18 09:51:00<br />,16.7,,-,66.0,,1015.2,23.3,5:51 AM,,16.1,Variable,5.6,0
8,Overcast,2015-07-18 10:17:00<br />,16.7,,-,66.0,,1016.1,23.3,6:17 AM,,16.1,Variable,5.6,0
9,Overcast,2015-07-18 10:51:00<br />,17.2,,-,68.0,,1015.0,23.3,6:51 AM,,16.1,Variable,7.4,0
10,Overcast,2015-07-18 11:51:00<br />,17.8,,-,69.0,,1015.1,23.9,7:51 AM,,16.1,Variable,7.4,0
11,Rain,2015-07-18 12:35:00<br />,18.3,Rain,27.8,73.0,0.0,1016.1,23.3,8:35 AM,,1.2,West,14.8,260
12,Heavy Rain,2015-07-18 12:51:00<br />,19.4,Fog-Rain,-,87.0,0.17,1015.2,21.7,8:51 AM,,0.8,Variable,9.3,0
13,Light Rain,2015-07-18 13:02:00<br />,20.0,Rain,-,90.0,0.14,1015.8,21.7,9:02 AM,,4.0,Calm,Calm,0
14,Overcast,2015-07-18 13:09:00<br />,20.0,,-,90.0,0.14,1015.5,21.7,9:09 AM,,9.7,Variable,7.4,0
15,Light Rain,2015-07-18 13:51:00<br />,20.6,Rain,-,91.0,0.15,1014.4,22.2,9:51 AM,,6.4,Calm,Calm,0
16,Scattered Clouds,2015-07-18 14:28:00<br />,21.1,,-,87.0,0.0,1015.1,23.3,10:28 AM,,11.3,Variable,5.6,0
17,Partly Cloudy,2015-07-18 14:51:00<br />,20.6,,-,85.0,0.0,1014.4,23.3,10:51 AM,,16.1,Variable,5.6,0
18,Scattered Clouds,2015-07-18 15:51:00<br />,22.2,,-,81.0,,1014.4,25.6,11:51 AM,,14.5,Variable,5.6,0
19,Mostly Cloudy,2015-07-18 16:02:00<br />,21.7,,-,79.0,,1015.5,25.6,12:02 PM,,16.1,Variable,7.4,0
20,Overcast,2015-07-18 16:51:00<br />,21.1,,-,79.0,,1014.3,25.0,12:51 PM,,12.9,Variable,9.3,0
21,Scattered Clouds,2015-07-18 17:51:00<br />,21.7,,-,77.0,,1013.3,26.1,1:51 PM,,12.9,Variable,7.4,0
22,Mostly Cloudy,2015-07-18 18:46:00<br />,22.0,,-,74.0,,1013.8,27.0,2:46 PM,,12.9,SSW,7.4,200
23,Mostly Cloudy,2015-07-18 18:51:00<br />,21.7,,-,67.0,,1012.7,28.3,2:51 PM,,12.9,Variable,7.4,0
24,Clear,2015-07-18 19:51:00<br />,22.2,,-,67.0,,1012.3,28.9,3:51 PM,,12.9,Calm,Calm,0
25,Mostly Cloudy,2015-07-18 20:51:00<br />,22.2,,-,71.0,,1012.0,27.8,4:51 PM,,14.5,South,9.3,170
26,Mostly Cloudy,2015-07-18 21:17:00<br />,22.2,,-,69.0,,1013.1,28.3,5:17 PM,,14.5,Variable,5.6,0
27,Overcast,2015-07-18 21:41:00<br />,22.2,,-,71.0,,1013.1,27.8,5:41 PM,,14.5,Variable,5.6,0
28,Mostly Cloudy,2015-07-18 21:51:00<br />,22.2,,-,71.0,,1012.0,27.8,5:51 PM,,14.5,Variable,7.4,0
29,Scattered Clouds,2015-07-18 22:51:00<br />,22.2,,-,69.0,,1011.8,28.3,6:51 PM,,14.5,Calm,Calm,0
30,Clear,2015-07-18 23:51:00<br />,21.7,,-,67.0,,1011.4,28.3,7:51 PM,,14.5,Variable,7.4,0
31,Clear,2015-07-19 00:51:00<br />,21.7,,-,67.0,,1011.4,28.3,8:51 PM,,16.1,Variable,5.6,0
32,Clear,2015-07-19 01:51:00<br />,21.7,,-,67.0,,1011.9,28.3,9:51 PM,,14.5,WSW,11.1,250
33,Mostly Cloudy,2015-07-19 02:51:00<br />,21.7,,-,69.0,,1011.6,27.8,10:51 PM,,16.1,Variable,11.1,0
34,Clear,2015-07-19 03:51:00<br />,21.1,,-,67.0,,1011.1,27.8,11:51 PM,,16.1,North,-9999.0,0
0,Clear,2015-07-19 04:51:00<br />,21.1,,-,71.0,,1011.6,26.7,12:51 AM,,16.1,Variable,9.3,0
1,Clear,2015-07-19 05:51:00<br />,21.7,,-,74.0,,1011.6,26.7,1:51 AM,,16.1,Calm,Calm,0
2,Clear,2015-07-19 06:51:00<br />,20.6,,-,69.0,,1011.1,26.7,2:51 AM,,16.1,Calm,Calm,0
3,Clear,2015-07-19 07:51:00<br />,21.1,,-,74.0,,1010.7,26.1,3:51 AM,,16.1,Calm,Calm,0
4,Clear,2015-07-19 08:51:00<br />,20.0,,-,71.0,,1010.6,25.6,4:51 AM,,16.1,Calm,Calm,0
5,Clear,2015-07-19 09:51:00<br />,20.0,,-,71.0,,1010.7,25.6,5:51 AM,,16.1,Calm,Calm,0
6,Clear,2015-07-19 10:51:00<br />,20.6,,-,74.0,,1011.0,25.6,6:51 AM,,16.1,West,7.4,260
7,Clear,2015-07-19 11:51:00<br />,20.6,,-,69.0,,1011.2,26.7,7:51 AM,,16.1,Variable,5.6,0
8,Clear,2015-07-19 12:51:00<br />,20.6,,-,65.0,,1011.1,27.8,8:51 AM,,16.1,Calm,Calm,0
9,Clear,2015-07-19 13:51:00<br />,20.0,,-,58.0,,1011.0,28.9,9:51 AM,,16.1,Calm,Calm,0
10,Clear,2015-07-19 14:51:00<br />,20.6,,-,55.0,,1010.9,30.6,10:51 AM,,16.1,WNW,5.6,300
11,Clear,2015-07-19 15:51:00<br />,20.6,,-,50.0,,1010.4,32.2,11:51 AM,,16.1,Variable,5.6,0
12,Clear,2015-07-19 16:51:00<br />,21.1,,-,50.0,,1010.1,32.8,12:51 PM,,16.1,SSW,5.6,200
13,Clear,2015-07-19 17:51:00<br />,21.7,,-,49.0,,1009.6,33.9,1:51 PM,,14.5,Calm,Calm,0
14,Scattered Clouds,2015-07-19 18:51:00<br />,23.3,,-,55.0,,1009.0,33.3,2:51 PM,,12.9,Variable,9.3,0
15,Partly Cloudy,2015-07-19 19:51:00<br />,22.8,,-,55.0,,1008.7,32.8,3:51 PM,,12.9,Variable,11.1,0
16,Clear,2015-07-19 20:51:00<br />,23.3,,-,57.0,,1008.0,32.8,4:51 PM,,14.5,Variable,5.6,0
17,Partly Cloudy,2015-07-19 21:51:00<br />,21.7,,-,52.0,,1006.9,32.8,5:51 PM,,16.1,Variable,11.1,0
18,Partly Cloudy,2015-07-19 22:51:00<br />,20.6,,-,48.0,,1007.1,32.8,6:51 PM,,16.1,Variable,7.4,0
19,Clear,2015-07-19 23:51:00<br />,20.6,,-,50.0,,1007.3,32.2,7:51 PM,,16.1,Variable,7.4,0
20,Clear,2015-07-20 00:51:00<br />,21.1,,-,53.0,,1007.1,31.7,8:51 PM,,14.5,Variable,5.6,0
21,Clear,2015-07-20 01:51:00<br />,21.1,,-,53.0,,1007.5,31.7,9:51 PM,,14.5,WSW,7.4,240
22,Clear,2015-07-20 02:51:00<br />,21.1,,-,55.0,,1007.3,31.1,10:51 PM,,16.1,Variable,5.6,0
23,Clear,2015-07-20 03:51:00<br />,21.1,,31.5,55.0,,1007.2,31.1,11:51 PM,,14.5,West,16.7,260
